지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 상대습도(%)
108,서울,2005-01-01,-4.9,,2.1,290,41.5
108,서울,2005-01-02,.4,0,2.8,50,58.9
108,서울,2005-01-03,2.9,1.5,3.6,230,70.3
108,서울,2005-01-04,-4.9,,3.2,290,39
108,서울,2005-01-05,-3.8,,1.6,50,41.9
108,서울,2005-01-06,.1,0,2,270,58.1
108,서울,2005-01-07,-2.9,0,3.6,290,52.4
108,서울,2005-01-08,-5,0,2.6,290,51.3
108,서울,2005-01-09,-8,,2.9,320,43.9
108,서울,2005-01-10,-5.7,0,2.1,290,57.8
108,서울,2005-01-11,-6.3,,3,290,48.1
108,서울,2005-01-12,-6.1,,2.1,290,44.9
108,서울,2005-01-13,-4.8,,2.1,290,55.4
108,서울,2005-01-14,-3.1,,1.8,290,51.1
108,서울,2005-01-15,-2.6,,2.6,290,56.9
108,서울,2005-01-16,-.8,.3,2.7,290,67.1
108,서울,2005-01-17,.4,,1.7,290,59
108,서울,2005-01-18,.3,.5,2.2,50,79.3
108,서울,2005-01-19,-3.8,,3.4,290,48.5
108,서울,2005-01-20,-5.9,,3.4,290,49.8
108,서울,2005-01-21,-5.4,,1.9,290,45.1
108,서울,2005-01-22,-2.2,,1.2,50,41.1
108,서울,2005-01-23,1.8,,1.5,290,34.8
108,서울,2005-01-24,1.3,,1.8,290,67
108,서울,2005-01-25,1.1,,1.4,50,59.3
108,서울,2005-01-26,1.6,,1.8,270,59.6
108,서울,2005-01-27,1.3,,1.8,290,46
108,서울,2005-01-28,2.1,,1.7,50,44.8
108,서울,2005-01-29,-.8,2.2,3.2,290,64.5
108,서울,2005-01-30,-7,,3.1,290,39.9
108,서울,2005-01-31,-7.3,0,3.8,290,39.9
108,서울,2005-02-01,-10.2,,5,290,41.6
108,서울,2005-02-02,-6.9,,3,290,49.1
108,서울,2005-02-03,-4.6,,1.9,290,52
108,서울,2005-02-04,-1.5,,2,290,44.3
108,서울,2005-02-05,-1.6,,2.7,290,47.5
108,서울,2005-02-06,-.1,,1.3,70,36.1
108,서울,2005-02-07,3.5,0,1.7,70,47.9
108,서울,2005-02-08,1.7,0,2.2,290,56.4
108,서울,2005-02-09,-1.4,,2.1,320,57.9
108,서울,2005-02-10,-6,,3,290,37.1
108,서울,2005-02-11,-6,,2.7,290,38.4
